Leo	0.746258898	-0.151037031	0.716022803	-0.379247906
Leo	0.716022803	-0.379247906	0.655162175	-0.350804286
Leo	0.655162175	-0.350804286	0.636428415	-0.296884144
Leo	0.636428415	-0.296884144	0.591059653	-0.286100687
Leo	0.591059653	-0.286100687	0.530928443	-0.329349963
Leo	0.530928443	-0.329349963	0.543635523	-0.360336411
LeoMinor	0.507046708	-0.15188018	0.461787172	-0.196294515
LeoMinor	0.461787172	-0.196294515	0.456619186	-0.244281548
Lepus	-0.020165237	-1.283653268	-0.073929205	-1.296935615
Lepus	-0.073929205	-1.296935615	-0.162933847	-1.362191278
Lepus	-0.162933847	-1.362191278	-0.271726901	-1.303999097
Lepus	-0.054990157	-1.450685363	-0.101367351	-1.491705793
Lepus	-0.101367351	-1.491705793	-0.20012975	-1.434593432
Lepus	-0.20012975	-1.434593432	-0.352009282	-1.450876427
Lepus	-0.162933847	-1.362191278	-0.20012975	-1.434593432
Lyra	-0.044014584	0.506909977	-0.07690559	0.473085391
Lyra	-0.07690559	0.473085391	-0.09050003	0.461637896
Lyra	-0.09050003	0.461637896	-0.095494425	0.482650507
Lyra	-0.095494425	0.482650507	-0.116784457	0.526056428
Lyra	-0.116784457	0.526056428	-0.13897858	0.528501976
Lyra	-0.13897858	0.528501976	-0.117708607	0.485621847
Lyra	-0.117708607	0.485621847	-0.095494425	0.482650507
Ophiuchus	0.245260362	1.709915803	0.259070075	1.54814172
Ophiuchus	0.259070075	1.54814172	0.225925499	1.528426212
Ophiuchus	0.225925499	1.528426212	0.246925318	1.437020705
Ophiuchus	0.246925318	1.437020705	0.283731211	1.289589203
Ophiuchus	0.283731211	1.289589203	0.425760459	1.125999367
Ophiuchus	0.425760459	1.125999367	0.465942573	0.980352641
Ophiuchus	0.465942573	0.980352641	0.474548985	0.955274909
Ophiuchus	0.474548985	0.955274909	0.227923758	0.817248916
Ophiuchus	0.227923758	0.817248916	0.087513046	0.796933741
Ophiuchus	0.087513046	0.796933741	0.066549588	0.920901693
Ophiuchus	0.066549588	0.920901693	0.283731211	1.289589203
Ophiuchus	0.066549588	0.920901693	0.0504046	0.952499453
Ophiuchus	0.0504046	0.952499453	-0.002625535	0.950094909
Ophiuchus	-0.002625535	0.950094909	-0.022762579	0.957030372
Ophiuchus	0.0504046	0.952499453	0.005092856	1.186972355
Orion	-0.227530152	-1.131821819	-0.063298339	-1.183109616
Orion	-0.063298339	-1.183109616	-0.086789294	-1.030848984
Orion	-0.086789294	-1.030848984	-0.018523849	-0.878218762
Orion	-0.018523849	-0.878218762	0.008780506	-0.844309576
Orion	0.008780506	-0.844309576	0.040509805	-0.777299297
Orion	0.040509805	-0.777299297	0.011935024	-0.698308013
Orion	0.040509805	-0.777299297	0.025435514	-0.770124073
Orion	0.025435514	-0.770124073	-0.017121299	-0.696412257
Orion	-0.018523849	-0.878218762	-0.090970939	-0.835139029
Orion	-0.090970939	-0.835139029	-0.13568389	-0.884546991
